"type","Status","Amount_In_Dollars","Original_Date","Traded_Time","Last_Updated","Deposit_Type","Fee_In_Dollars","Market_Title","Market_Ticker","Market_Id","Filled","Remaining","Direction","Order_Type","Price_In_Cents","No_Contracts_Owned","No_Contracts_Average_Price_In_Cents","Yes_Contracts_Owned","Yes_Contracts_Average_Price_In_Cents","Result","Profit_In_Dollars","Credit_Reason","Credit_Type","Introducing_Broker"
"Trade","","1.09","2026-05-10T12:17:03.987Z","8:17am EDT","","","0.00","","KXHIGHTATL-26MAY10-B79.5","7f3c7fed-1d9f-4b1a-94af-467c3195e0f5","","","No","Taker","9","","","","","","","","",""
"Order","Filled","","2026-05-10T12:10:59.300Z","","","","","","KXHIGHPHIL-26MAY10-B83.5","4d7dbb09-e0d2-4808-9ebe-3b4bce714dc3","1.2","0","","","","","","","","","","","",""
"Trade","","1.2","2026-05-10T12:10:59.300Z","8:10am EDT","","","0.01","","KXHIGHPHIL-26MAY10-B83.5","4d7dbb09-e0d2-4808-9ebe-3b4bce714dc3","","","No","Taker","18","","","","","","","","",""
"Order","Filled","","2026-05-10T12:09:06.297Z","","","","","","KXHIGHTBOS-26MAY10-B74.5","61affbd7-c152-43ea-922e-749742f5b555","1.15","0","","","","","","","","","","","",""
"Trade","","1.15","2026-05-10T12:09:06.297Z","8:09am EDT","","","0.01","","KXHIGHTBOS-26MAY10-B74.5","61affbd7-c152-43ea-922e-749742f5b555","","","No","Taker","14","","","","","","","","",""
"Order","Filled","","2026-05-10T12:06:33.724Z","","","","","","KXHIGHTSFO-26MAY10-B67.5","c7a45017-4c8f-4190-90a6-4e75a59d5b97","1.07","0","","","","","","","","","","","",""
"Trade","","1.07","2026-05-10T12:06:33.724Z","8:06am EDT","","","0.00","","KXHIGHTSFO-26MAY10-B67.5","c7a45017-4c8f-4190-90a6-4e75a59d5b97","","","No","Taker","7","","","","","","","","",""
"Order","Filled","","2026-05-10T12:03:47.219Z","","","","","","KXHIGHTHOU-26MAY10-B90.5","1ee92e9d-31cf-47c6-88be-f7f1af5945f4","1.04","0","","","","","","","","","","","",""
"Trade","","1.04","2026-05-10T12:03:47.219Z","8:03am EDT","","","0.01","","KXHIGHTHOU-26MAY10-B90.5","1ee92e9d-31cf-47c6-88be-f7f1af5945f4","","","No","Taker","5","","","","","","","","",""
"Settlement","","","2026-05-10T12:02:05.935Z","","","","","","KXHIGHCHI-26MAY09-B76.5","","","","","","","1","0.99","0","0.00","yes","0.00","","",""
"Settlement","","","2026-05-10T12:02:05.925Z","","","","","","KXHIGHMIA-26MAY09-B93.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-10T12:02:05.907Z","","","","","","KXHIGHNY-26MAY09-B67.5","","","","","","","1","0.99","0","0.00","no","1.09","","",""
"Order","Filled","","2026-05-10T12:00:25.347Z","","","","","","KXHIGHTDAL-26MAY10-B85.5","9af7f8eb-3645-47ec-8dc4-68940937a268","1.03","0","","","","","","","","","","","",""
"Trade","","1.03","2026-05-10T12:00:25.347Z","8:00am EDT","","","0.01","","KXHIGHTDAL-26MAY10-B85.5","9af7f8eb-3645-47ec-8dc4-68940937a268","","","No","Taker","4","","","","","","","","",""
"Order","Filled","","2026-05-10T11:56:57.127Z","","","","","","KXHIGHTSEA-26MAY10-T66","8048ba11-b70b-45fe-bd1b-a16cbd195a99","1.13","0","","","","","","","","","","","",""
"Trade","","1.13","2026-05-10T11:56:57.127Z","7:56am EDT","","","0.01","","KXHIGHTSEA-26MAY10-T66","8048ba11-b70b-45fe-bd1b-a16cbd195a99","","","No","Taker","13","","","","","","","","",""
"Order","Filled","","2026-05-10T11:49:23.470Z","","","","","","KXHIGHAUS-26MAY10-B88.5","4b0460eb-7e9b-48d6-8d82-b2cb9c79b989","1.13","0","","","","","","","","","","","",""
"Trade","","1.13","2026-05-10T11:49:23.470Z","7:49am EDT","","","0.01","","KXHIGHAUS-26MAY10-B88.5","4b0460eb-7e9b-48d6-8d82-b2cb9c79b989","","","No","Taker","13","","","","","","","","",""
"Order","Canceled","","2026-05-10T11:47:33.226Z","","","","","","KXHIGHTLV-26MAY10-B97.5","2780e016-abff-452b-8581-352b36b8c397","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-10T11:46:59.589Z","","","","","","KXHIGHTLV-26MAY10-B97.5","2780e016-abff-452b-8581-352b36b8c397","1.16","0","","","","","","","","","","","",""
"Trade","","1.16","2026-05-10T11:46:59.589Z","7:46am EDT","","","0.01","","KXHIGHTLV-26MAY10-B97.5","2780e016-abff-452b-8581-352b36b8c397","","","No","Taker","15","","","","","","","","",""
"Order","Filled","","2026-05-10T11:44:39.084Z","","","","","","KXHIGHMIA-26MAY10-B88.5","caa4a5dd-f262-4fac-93e4-3fb52d443f10","1.15","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-10T11:44:29.779Z","","","","","","KXHIGHMIA-26MAY10-B88.5","caa4a5dd-f262-4fac-93e4-3fb52d443f10","1.15","0","","","","","","","","","","","",""
"Trade","","1.15","2026-05-10T11:44:29.779Z","7:44am EDT","","","0.01","","KXHIGHMIA-26MAY10-B88.5","caa4a5dd-f262-4fac-93e4-3fb52d443f10","","","No","Taker","14","","","","","","","","",""
"Order","Canceled","","2026-05-10T11:43:06.608Z","","","","","","KXHIGHCHI-26MAY10-B65.5","781e1f71-956b-4dcd-be76-0c3333371510","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-10T11:42:56.672Z","","","","","","KXHIGHCHI-26MAY10-B65.5","781e1f71-956b-4dcd-be76-0c3333371510","1.16","0","","","","","","","","","","","",""
"Trade","","0.16","2026-05-10T11:42:56.672Z","7:42am EDT","","","0.00","","KXHIGHCHI-26MAY10-B65.5","781e1f71-956b-4dcd-be76-0c3333371510","","","No","Taker","15","","","","","","","","",""
"Trade","","1","2026-05-10T11:42:56.672Z","7:42am EDT","","","0.01","","KXHIGHCHI-26MAY10-B65.5","781e1f71-956b-4dcd-be76-0c3333371510","","","No","Taker","15","","","","","","","","",""
"Order","Filled","","2026-05-10T11:41:34.672Z","","","","","","KXHIGHNY-26MAY10-T72","ca9f78a5-2cde-4bed-923e-09c4e9155299","1.07","0","","","","","","","","","","","",""
"Trade","","1.07","2026-05-10T11:41:34.672Z","7:41am EDT","","","0.00","","KXHIGHNY-26MAY10-T72","ca9f78a5-2cde-4bed-923e-09c4e9155299","","","No","Taker","7","","","","","","","","",""
"Order","Filled","","2026-05-10T11:39:48.836Z","","","","","","KXHIGHLAX-26MAY10-T72","61c68002-28e2-4ac5-b56f-c6ac20e6ca74","1.32","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-10T11:39:35.479Z","","","","","","KXHIGHLAX-26MAY10-T72","61c68002-28e2-4ac5-b56f-c6ac20e6ca74","1.32","0","","","","","","","","","","","",""
"Trade","","1.32","2026-05-10T11:39:35.479Z","7:39am EDT","","","0.02","","KXHIGHLAX-26MAY10-T72","61c68002-28e2-4ac5-b56f-c6ac20e6ca74","","","Yes","Taker","74","","","","","","","","",""
"Settlement","","","2026-05-10T11:32:55.893Z","","","","","","KXLOWTHOU-26MAY09-B70.5","","","","","","","1","0.97","1","0.12","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:40.765Z","","","","","","KXLOWTNYC-26MAY09-B52.5","","","","","","","1","0.97","1","0.32","yes","0.00","","",""
"Settlement","","","2026-05-10T11:32:40.761Z","","","","","","KXHIGHTHOU-26MAY09-B83.5","","","","","","","1","0.98","1","0.11","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:40.755Z","","","","","","KXLOWTPHX-26MAY09-B72.5","","","","","","","1","0.97","1","0.16","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:40.750Z","","","","","","KXLOWTLV-26MAY09-B70.5","","","","","","","1","0.98","0","0.00","no","1.05","","",""
"Settlement","","","2026-05-10T11:32:40.744Z","","","","","","KXLOWTMIA-26MAY09-B75.5","","","","","","","1","0.99","0","0.00","yes","0.00","","",""
"Settlement","","","2026-05-10T11:32:15.944Z","","","","","","KXHIGHTATL-26MAY09-B78.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:15.938Z","","","","","","KXHIGHTSEA-26MAY09-B72.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:15.931Z","","","","","","KXHIGHLAX-26MAY09-T69","","","","","","","1","0.99","0","0.00","no","1.08","","",""
"Settlement","","","2026-05-10T11:32:15.909Z","","","","","","KXHIGHTMIN-26MAY09-B60.5","","","","","","","1","0.98","1","0.09","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:15.899Z","","","","","","KXHIGHTSATX-26MAY09-B87.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:05.857Z","","","","","","KXHIGHTDC-26MAY09-B70.5","","","","","","","1","0.98","1","0.09","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:05.851Z","","","","","","KXHIGHTNOLA-26MAY09-B78.5","","","","","","","1","0.97","1","0.23","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:05.846Z","","","","","","KXHIGHTSFO-26MAY09-B67.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-10T11:07:05.935Z","","","","","","KXHIGHPHIL-26MAY09-B66.5","","","","","","","1","0.98","1","0.06","no","0.00","","",""
"Settlement","","","2026-05-10T11:07:05.930Z","","","","","","KXHIGHDEN-26MAY09-B73.5","","","","","","","1","0.98","1","0.10","no","0.00","","",""
"Trade","","1.19","2026-05-10T04:17:34.168Z","12:17am EDT","","","0.00","","KXLOWTDEN-26MAY09-T48","37ac9ac2-800d-4774-a9e7-f9f3e65784fa","","","Yes","Maker","10","","","","","","","","",""
"Trade","","1.12","2026-05-09T21:13:11.309Z","5:13pm EDT","","","0.00","","KXHIGHTSEA-26MAY09-B72.5","e6a348e3-6002-42d7-8636-83ea08461917","","","Yes","Maker","5","","","","","","","","",""
"Trade","","1.47","2026-05-09T20:42:38.156Z","4:42pm EDT","","","0.00","","KXHIGHTLV-26MAY09-B98.5","a6d1e1d7-8618-4734-91f7-a1071f241955","","","Yes","Maker","26","","","","","","","","",""
"Trade","","1.17","2026-05-09T19:26:13.100Z","3:26pm EDT","","","0.00","","KXHIGHTMIN-26MAY09-B60.5","101ce15b-a0e8-4aba-8787-5afa3d3866c9","","","Yes","Maker","8","","","","","","","","",""
"Trade","","1.12","2026-05-09T18:37:37.260Z","2:37pm EDT","","","0.00","","KXHIGHTSATX-26MAY09-B87.5","8e980c0e-a787-452c-b2dd-f51b86db59f6","","","Yes","Maker","5","","","","","","","","",""
"Trade","","1.13","2026-05-09T17:59:44.692Z","1:59pm EDT","","","0.00","","KXHIGHTSFO-26MAY09-B67.5","a086a3db-f56b-45c4-adf1-36127d7d3d6d","","","Yes","Maker","5","","","","","","","","",""
"Settlement","","","2026-05-09T16:37:27.041Z","","","","","","KXLOWTHOU-26MAY08-B64.5","","","","","","","1","0.97","1","0.10","no","0.00","","",""
"Settlement","","","2026-05-09T16:37:16.993Z","","","","","","KXHIGHTHOU-26MAY08-B80.5","","","","","","","1","0.97","1","0.23","no","0.00","","",""
"Trade","","1.12","2026-05-09T16:36:26.695Z","12:36pm EDT","","","0.00","","KXHIGHMIA-26MAY09-B93.5","b0af456f-a4e0-4e51-b202-47809bed9084","","","Yes","Maker","5","","","","","","","","",""
"Trade","","1.16","2026-05-09T15:31:31.660Z","11:31am EDT","","","0.00","","KXLOWTDC-26MAY09-B55.5","8a71b909-632d-4b85-90e3-165a29898312","","","Yes","Maker","5","","","","","","","","",""
"Trade","","1.15","2026-05-09T14:20:42.095Z","10:20am EDT","","","0.00","","KXHIGHTDC-26MAY09-B70.5","19f5e471-cb24-4ef2-9ac1-772e36613486","","","Yes","Maker","8","","","","","","","","",""
"Trade","","1.16","2026-05-09T14:15:28.845Z","10:15am EDT","","","0.00","","KXHIGHDEN-26MAY09-B73.5","006e30de-539b-48ea-8119-9aba2f255fe4","","","Yes","Maker","9","","","","","","","","",""
"Trade","","1.13","2026-05-09T13:30:49.471Z","9:30am EDT","","","0.00","","KXHIGHTATL-26MAY09-B78.5","b1f05ad9-bb1f-4436-b4ff-e5d3ff1fde92","","","Yes","Maker","5","","","","","","","","",""
"Trade","","1.17","2026-05-09T13:16:43.796Z","9:16am EDT","","","0.00","","KXLOWTLAX-26MAY09-T59","6a21a0a9-3cfa-4f81-972d-081944795c02","","","Yes","Maker","8","","","","","","","","",""
"Trade","","0.25","2026-05-09T13:15:54.126Z","9:15am EDT","","","0.00","","KXLOWTHOU-26MAY09-B70.5","88f58ba5-1af9-4546-ab32-df4c71e0fd46","","","Yes","Maker","10","","","","","","","","",""
"Trade","","0.32","2026-05-09T13:00:56.379Z","9:00am EDT","","","0.00","","KXHIGHTNOLA-26MAY09-B78.5","3676f339-3d69-467c-b85b-d00e472e7d17","","","Yes","Maker","18","","","","","","","","",""
"Trade","","1","2026-05-09T13:00:51.775Z","9:00am EDT","","","0.00","","KXHIGHTNOLA-26MAY09-B78.5","3676f339-3d69-467c-b85b-d00e472e7d17","","","Yes","Maker","18","","","","","","","","",""
"Trade","","1.23","2026-05-09T12:52:27.061Z","8:52am EDT","","","0.00","","KXHIGHTBOS-26MAY09-B57.5","28deac81-b2ac-4c4a-81b8-166e65d9cbbf","","","Yes","Maker","12","","","","","","","","",""
"Order","Filled","","2026-05-09T12:50:53.301Z","","","","","","KXHIGHTHOU-26MAY09-B83.5","44084f52-fb39-4e62-bbbe-7b61470a729d","1.17","0","","","","","","","","","","","",""
"Trade","","1.17","2026-05-09T12:50:53.301Z","8:50am EDT","","","0.01","","KXHIGHTHOU-26MAY09-B83.5","44084f52-fb39-4e62-bbbe-7b61470a729d","","","Yes","Taker","10","","","","","","","","",""
"Trade","","0.15","2026-05-09T12:21:58.695Z","8:21am EDT","","","0.00","","KXHIGHPHIL-26MAY09-B66.5","9f80f406-5a55-403c-a880-c43af4807124","","","Yes","Maker","6","","","","","","","","",""
"Settlement","","","2026-05-09T12:03:06.959Z","","","","","","KXHIGHMIA-26MAY08-T93","","","","","","","1","0.98","1","0.11","no","0.00","","",""
"Settlement","","","2026-05-09T12:02:57.052Z","","","","","","KXHIGHNY-26MAY08-B64.5","","","","","","","2","0.47","2","0.46","no","0.00","","",""
"Trade","","1.41","2026-05-09T11:57:39.892Z","7:57am EDT","","","0.00","","KXLOWTNYC-26MAY09-B52.5","226e313c-674f-413f-a9c7-c99f6ada51dd","","","Yes","Maker","23","","","","","","","","",""
"Settlement","","","2026-05-09T11:33:46.940Z","","","","","","KXLOWTSATX-26MAY08-T60","","","","","","","1","0.98","1","0.01","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:37.018Z","","","","","","KXHIGHTSATX-26MAY08-B79.5","","","","","","","1","0.96","1","0.34","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:37.012Z","","","","","","KXLOWTLAX-26MAY08-B58.5","","","","","","","1","0.97","1","0.30","yes","0.00","","",""
"Settlement","","","2026-05-09T11:33:37.007Z","","","","","","KXLOWTPHX-26MAY08-B66.5","","","","","","","1","0.97","1","0.10","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:37.004Z","","","","","","KXLOWTSEA-26MAY08-B46.5","","","","","","","1","0.92","1","0.04","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:37.002Z","","","","","","KXLOWTSFO-26MAY08-B50.5","","","","","","","1","0.99","1","0.06","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:36.999Z","","","","","","KXLOWTDC-26MAY08-B45.5","","","","","","","1","0.98","1","0.08","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:36.991Z","","","","","","KXLOWTLV-26MAY08-B67.5","","","","","","","1","0.99","1","0.01","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:27.037Z","","","","","","KXHIGHTBOS-26MAY08-B64.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:27.018Z","","","","","","KXHIGHTLV-26MAY08-B97.5","","","","","","","1","0.98","1","0.25","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:27.014Z","","","","","","KXHIGHTSEA-26MAY08-B65.5","","","","","","","1","0.87","1","0.09","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:27.011Z","","","","","","KXHIGHTDC-26MAY08-B69.5","","","","","","","1","0.98","1","0.12","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:27.005Z","","","","","","KXHIGHTOKC-26MAY08-B85.5","","","","","","","1","0.97","1","0.26","yes","0.00","","",""
"Settlement","","","2026-05-09T11:33:27.001Z","","","","","","KXLOWTPHIL-26MAY08-B48.5","","","","","","","1","0.98","1","0.17","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:27Z","","","","","","KXLOWTDEN-26MAY08-B43.5","","","","","","","1","0.97","1","0.14","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:26.998Z","","","","","","KXLOWTMIA-26MAY08-B73.5","","","","","","","1","0.97","1","0.34","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:26.996Z","","","","","","KXLOWTNYC-26MAY08-B44.5","","","","","","","1","0.98","1","0.01","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:17.006Z","","","","","","KXHIGHTNOLA-26MAY08-B76.5","","","","","","","1","0.96","1","0.49","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:17.004Z","","","","","","KXHIGHTSFO-26MAY08-B66.5","","","","","","","1","0.98","1","0.09","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:06.959Z","","","","","","KXHIGHLAX-26MAY08-B68.5","","","","","","","1","0.96","1","0.58","yes","0.00","","",""
"Trade","","1","2026-05-09T11:26:08.378Z","7:26am EDT","","","0.00","","KXLOWTHOU-26MAY09-B70.5","88f58ba5-1af9-4546-ab32-df4c71e0fd46","","","Yes","Maker","10","","","","","","","","",""
"Trade","","1.24","2026-05-09T11:20:57.801Z","7:20am EDT","","","0.00","","KXLOWTPHX-26MAY09-B72.5","90305c21-85d7-4126-b696-587c5e68d252","","","Yes","Maker","13","","","","","","","","",""
"Settlement","","","2026-05-09T11:08:06.942Z","","","","","","KXHIGHPHIL-26MAY08-B71.5","","","","","","","1","0.99","1","0.11","yes","0.00","","",""
"Trade","","1","2026-05-09T11:01:58.540Z","7:01am EDT","","","0.00","","KXHIGHPHIL-26MAY09-B66.5","9f80f406-5a55-403c-a880-c43af4807124","","","Yes","Maker","6","","","","","","","","",""
"Trade","","1.13","2026-05-09T10:57:35.677Z","6:57am EDT","","","0.00","","KXLOWTAUS-26MAY09-B68.5","499af100-8065-46c4-a5bb-442a2021935d","","","Yes","Maker","5","","","","","","","","",""
"Trade","","1.15","2026-05-09T10:24:47.201Z","6:24am EDT","","","0.00","","KXLOWTSEA-26MAY09-B47.5","7a64d5b2-ffeb-471e-85fa-c13d3fdf643b","","","Yes","Maker","8","","","","","","","","",""
"Order","Filled","","2026-05-09T09:59:09.835Z","","","","","","KXLOWTOKC-26MAY09-B53.5","0c4d1a78-4513-4277-9e70-dad4a4870d6d","1.1","0","","","","","","","","","","","",""
"Trade","","1.1","2026-05-09T09:59:09.835Z","5:59am EDT","","","0.01","","KXLOWTOKC-26MAY09-B53.5","0c4d1a78-4513-4277-9e70-dad4a4870d6d","","","No","Taker","10","","","","","","","","",""
"Order","Filled","","2026-05-09T09:58:34.139Z","","","","","","KXLOWTSEA-26MAY09-B47.5","7a64d5b2-ffeb-471e-85fa-c13d3fdf643b","1.15","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-09T09:58:21.684Z","","","","","","KXLOWTSEA-26MAY09-B47.5","7a64d5b2-ffeb-471e-85fa-c13d3fdf643b","1.15","0","","","","","","","","","","","",""
"Trade","","1.15","2026-05-09T09:58:21.684Z","5:58am EDT","","","0.01","","KXLOWTSEA-26MAY09-B47.5","7a64d5b2-ffeb-471e-85fa-c13d3fdf643b","","","No","Taker","14","","","","","","","","",""
"Order","Filled","","2026-05-09T09:58:00.182Z","","","","","","KXLOWTDC-26MAY09-B55.5","8a71b909-632d-4b85-90e3-165a29898312","1.16","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-09T09:57:54.593Z","","","","","","KXLOWTDC-26MAY09-B55.5","8a71b909-632d-4b85-90e3-165a29898312","1.16","0","","","","","","","","","","","",""
"Trade","","0.16","2026-05-09T09:57:54.593Z","5:57am EDT","","","0.00","","KXLOWTDC-26MAY09-B55.5","8a71b909-632d-4b85-90e3-165a29898312","","","No","Taker","14","","","","","","","","",""
"Trade","","1","2026-05-09T09:57:54.593Z","5:57am EDT","","","0.01","","KXLOWTDC-26MAY09-B55.5","8a71b909-632d-4b85-90e3-165a29898312","","","No","Taker","15","","","","","","","","",""
"Order","Filled","","2026-05-09T09:57:26.735Z","","","","","","KXLOWTHOU-26MAY09-B70.5","88f58ba5-1af9-4546-ab32-df4c71e0fd46","1.25","0","","","","","","","","","","","",""
"Order","Filled","","2026-05-09T09:57:19.612Z","","","","","","KXLOWTHOU-26MAY09-B70.5","88f58ba5-1af9-4546-ab32-df4c71e0fd46","1.25","0","","","","","","","","","","","",""
